"Project","Project Path","Original Bank","New Bank"
"Battery 1,2,3","~/Documents/Music/ez/battery-123","arpy","arpy"
"Battery 1,2,3","~/Documents/Music/ez/battery-123","bass","bass"
"Battery 1,2,3","~/Documents/Music/ez/battery-123","bass3","bass3"
"Battery 1,2,3","~/Documents/Music/ez/battery-123","hand","hand"
"Battery 1,2,3","~/Documents/Music/ez/battery-123","jvbass","jvbass"
"Battery 1,2,3","~/Documents/Music/ez/battery-123","peri","peri"
"Battery 1,2,3","~/Documents/Music/ez/battery-123","psr","psr"
"Battery 1,2,3","~/Documents/Music/ez/battery-123","rm","rm"
"Battery 1,2,3","~/Documents/Music/ez/battery-123","tacscan","tacscan"
"Battery 1,2,3","~/Documents/Music/ez/battery-123","tok","tok"
"Battery 1,2,3","~/Documents/Music/ez/battery-123","trump","trump"
"Battery 1,2,3","~/Documents/Music/ez/battery-123","uxay","uxay"
"Battery 1,2,3","~/Documents/Music/ez/battery-123","warbler","warbler"
"Battery 1,2,3","~/Documents/Music/ez/battery-123","wobble","wobble"
"Cuadrillion (Demo)","~/Documents/Music/ez/cuadrillion-demo","acb","acb"
"Cuadrillion (Demo)","~/Documents/Music/ez/cuadrillion-demo","acg","acg"
"Cuadrillion (Demo)","~/Documents/Music/ez/cuadrillion-demo","arpb","arpb"
"Cuadrillion (Demo)","~/Documents/Music/ez/cuadrillion-demo","bleep","bleep"
"Cuadrillion (Demo)","~/Documents/Music/ez/cuadrillion-demo","drum","cudrum"
"Cuadrillion (Demo)","~/Documents/Music/ez/cuadrillion-demo","drum2","cudrum2"
"Cuadrillion (Demo)","~/Documents/Music/ez/cuadrillion-demo","dg","dg"
"Cuadrillion (Demo)","~/Documents/Music/ez/cuadrillion-demo","drbass","drbass"
"Haddeo (Remix)","~/Documents/Music/ez/haddeo-remix","dorr","dorr"
"Haddeo (Remix)","~/Documents/Music/ez/haddeo-remix","duck","duck"
"Haddeo (Remix)","~/Documents/Music/ez/haddeo-remix","duon","duon"
"Haddeo (Remix)","~/Documents/Music/ez/haddeo-remix","bass","hbass"
"Haddeo (Remix)","~/Documents/Music/ez/haddeo-remix","bass2","hbass2"
"Haddeo (Remix)","~/Documents/Music/ez/haddeo-remix","drum","hdrum"
"Haddeo (Remix)","~/Documents/Music/ez/haddeo-remix","sn","hsn"
"Haddeo (Remix)","~/Documents/Music/ez/haddeo-remix","icarus","icarus"
"Haddeo (Remix)","~/Documents/Music/ez/haddeo-remix","kit","kit"
"Haddeo (Remix)","~/Documents/Music/ez/haddeo-remix","nimble","nimble"
"Haddeo (Remix)","~/Documents/Music/ez/haddeo-remix","sine","sine"
"Haddeo (Remix)","~/Documents/Music/ez/haddeo-remix","snoo","snoo"
"Haddeo (Remix)","~/Documents/Music/ez/haddeo-remix","tubal","tubal"
"Juliese","~/Documents/Music/ez/juliese","cy","cy"
"Juliese","~/Documents/Music/ez/juliese","eg","eg"
"Juliese","~/Documents/Music/ez/juliese","gt","gt"
"Juliese","~/Documents/Music/ez/juliese","hh","jhh"
"Juliese","~/Documents/Music/ez/juliese","k","jk"
"Juliese","~/Documents/Music/ez/juliese","sn","jsn"
"Juliese","~/Documents/Music/ez/juliese","pc","pc"
"Juliese","~/Documents/Music/ez/juliese","pclow","pclow"
"Juliese","~/Documents/Music/ez/juliese","udu","udu"
"Juliese","~/Documents/Music/ez/juliese","vb","vb"
"Juliese","~/Documents/Music/ez/juliese","wb","wb"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","armora","armora"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","baa","baa"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","bd","bd"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","casio","casio"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","ho","ho"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","house","house"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","jungbass","jungbass"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","monsterb","monsterb"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","bass","pigbass"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","hh","pighh"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","rm","pigrm"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","sn","pigsn"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","wobble","pigwobble"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","print","print"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","qlatibro","qlatibro"
"Pig's Nose EP","~/Documents/Music/ez/pigs-nose-ep","qspace","qspace"
"Piston LP","~/Documents/Music/ez/piston-lp","ant","ant"
"Piston LP","~/Documents/Music/ez/piston-lp","bz","bz"
"Piston LP","~/Documents/Music/ez/piston-lp","bzl","bzl"
"Piston LP","~/Documents/Music/ez/piston-lp","cymb","cymb"
"Piston LP","~/Documents/Music/ez/piston-lp","dubb","dubb"
"Piston LP","~/Documents/Music/ez/piston-lp","ff","ff"
"Piston LP","~/Documents/Music/ez/piston-lp","fly","fly"
"Piston LP","~/Documents/Music/ez/piston-lp","gnome","gnome"
"Piston LP","~/Documents/Music/ez/piston-lp","hh","hh"
"Piston LP","~/Documents/Music/ez/piston-lp","ice","ice"
"Piston LP","~/Documents/Music/ez/piston-lp","k","k"
"Piston LP","~/Documents/Music/ez/piston-lp","plode","plode"
"Piston LP","~/Documents/Music/ez/piston-lp","sn","sn"
"Piston LP","~/Documents/Music/ez/piston-lp","wt","wt"
"Piston LP","~/Documents/Music/ez/piston-lp","wtsn","wtsn"
